AGE,GENDER,HS_TYPE,WORK,PARTNER,MOTHER_EDU,FATHER_EDU,#_SIBLINGS,STUDY_HRS,GRADE,indicatore maschi con padre istruzione minima,vori maschi con padre minimo,maschi con padre istruzione massima,voti maschi con padre massimo,maschi, femmine,voti maschi,voti femmine,,
2,2,2,2,1,1,4,3,2,3,0,0,0,0,0,1,0,4,,
2,2,2,2,1,4,4,4,2,1,0,0,0,0,0,1,0,4,,
1,2,1,1,2,1,1,4,3,1,0,0,0,0,0,1,0,1,,
3,2,2,2,1,2,2,4,2,3,0,0,0,0,0,1,0,2,,
2,2,3,2,2,3,3,2,2,5,0,0,0,0,0,1,0,3,,
2,2,2,1,1,1,1,5,2,5,0,0,0,0,0,1,0,1,,
3,2,2,1,2,1,2,4,2,3,0,0,0,0,0,1,0,2,,
2,1,2,2,2,2,2,2,2,1,0,0,0,0,1,0,2,0,,
2,1,2,1,1,1,2,5,2,2,0,0,0,0,1,0,2,0,,
1,2,1,2,1,3,3,3,2,2,0,0,0,0,0,1,0,3,,
1,2,1,2,2,1,2,5,2,1,0,0,0,0,0,1,0,2,,
2,2,3,1,1,1,1,2,1,2,0,0,0,0,0,1,0,1,,
2,2,2,1,1,3,3,1,2,1,0,0,0,0,0,1,0,3,,
2,2,2,2,2,3,3,1,3,2,0,0,0,0,0,1,0,3,,
2,1,2,2,1,1,3,1,1,1,0,0,0,0,1,0,3,0,,
1,2,1,2,2,2,3,1,1,1,0,0,0,0,0,1,0,3,,
3,2,2,1,2,1,4,2,3,1,0,0,0,0,0,1,0,4,,
2,2,2,2,2,4,4,2,2,1,0,0,0,0,0,1,0,4,,
1,2,2,2,1,2,3,3,2,4,0,0,0,0,0,1,0,3,,
2,2,3,2,1,1,3,2,2,1,0,0,0,0,0,1,0,3,,
1,2,2,2,1,2,3,5,3,3,0,0,0,0,0,1,0,3,,
2,2,2,2,1,1,2,3,2,5,0,0,0,0,0,1,0,2,,
2,2,2,2,1,4,3,1,2,3,0,0,0,0,0,1,0,3,,
1,2,2,2,1,3,3,3,1,1,0,0,0,0,0,1,0,3,,
1,2,1,2,2,2,3,2,2,2,0,0,0,0,0,1,0,3,,
2,2,2,2,1,1,1,2,2,1,0,0,0,0,0,1,0,1,,
2,1,3,1,2,1,2,5,1,4,0,0,0,0,1,0,2,0,,
2,1,2,1,2,1,3,4,3,1,0,0,0,0,1,0,3,0,,
2,1,2,2,2,1,1,5,1,5,1,5,0,0,1,0,1,0,,
2,2,2,2,2,1,4,2,2,3,0,0,0,0,0,1,0,4,,
3,2,2,1,1,1,1,5,1,3,0,0,0,0,0,1,0,1,,
2,2,2,2,2,1,3,5,4,5,0,0,0,0,0,1,0,3,,
2,2,2,1,2,4,2,3,2,4,0,0,0,0,0,1,0,2,,
3,2,2,2,1,1,3,5,3,3,0,0,0,0,0,1,0,3,,
2,2,2,2,1,4,4,3,3,5,0,0,0,0,0,1,0,4,,
2,1,2,2,2,6,1,3,1,2,1,2,0,0,1,0,1,0,,
1,2,3,2,2,1,3,4,3,5,0,0,0,0,0,1,0,3,,
2,2,2,2,2,2,3,2,3,3,0,0,0,0,0,1,0,3,,
2,2,2,2,1,1,3,3,1,5,0,0,0,0,0,1,0,3,,
2,2,3,2,2,2,2,2,1,3,0,0,0,0,0,1,0,2,,
1,2,2,2,1,2,4,3,1,2,0,0,0,0,0,1,0,4,,
2,2,2,2,1,3,2,5,2,5,0,0,0,0,0,1,0,2,,
2,2,3,1,2,3,4,4,2,1,0,0,0,0,0,1,0,4,,
2,1,2,1,2,2,3,5,1,5,0,0,0,0,1,0,3,0,,
2,1,2,2,1,2,2,2,1,5,0,0,0,0,1,0,2,0,,
1,2,2,2,1,4,3,1,2,7,0,0,0,0,0,1,0,3,,
1,1,3,2,2,1,3,5,2,6,0,0,0,0,1,0,3,0,,
1,2,2,2,1,1,1,2,2,6,0,0,0,0,0,1,0,1,,
2,2,2,2,2,1,3,4,3,6,0,0,0,0,0,1,0,3,,
1,2,2,2,2,2,2,3,2,7,0,0,0,0,0,1,0,2,,
1,2,2,2,2,1,5,4,3,7,0,0,0,0,0,1,0,5,,
2,2,1,2,2,5,4,3,2,4,0,0,0,0,0,1,0,4,,
1,2,1,2,1,6,5,2,2,7,0,0,0,0,0,1,0,5,,
2,1,2,1,2,1,3,4,2,4,0,0,0,0,1,0,3,0,,
2,2,2,2,2,1,3,4,1,3,0,0,0,0,0,1,0,3,,
2,1,2,1,1,1,1,2,1,4,1,4,0,0,1,0,1,0,,
3,2,2,1,2,1,2,4,2,3,0,0,0,0,0,1,0,2,,
2,2,2,1,1,3,1,3,2,7,0,0,0,0,0,1,0,1,,
2,2,3,2,2,4,4,2,1,7,0,0,0,0,0,1,0,4,,
3,2,3,1,1,4,2,5,1,7,0,0,0,0,0,1,0,2,,
1,2,2,2,2,1,1,5,1,4,0,0,0,0,0,1,0,1,,
2,2,2,2,2,3,3,2,2,5,0,0,0,0,0,1,0,3,,
2,2,2,2,2,3,4,2,2,6,0,0,0,0,0,1,0,4,,
1,2,2,2,1,4,4,1,2,6,0,0,0,0,0,1,0,4,,
2,2,2,2,2,3,5,3,2,6,0,0,0,0,0,1,0,5,,
2,1,2,2,1,3,3,1,2,6,0,0,0,0,1,0,3,0,,
2,2,2,1,1,4,1,5,2,6,0,0,0,0,0,1,0,1,,
1,2,2,2,2,3,4,4,3,7,0,0,0,0,0,1,0,4,,
1,2,2,1,1,1,2,4,5,4,0,0,0,0,0,1,0,2,,
2,2,2,2,1,3,2,5,2,6,0,0,0,0,0,1,0,2,,
1,2,3,1,1,3,4,1,2,5,0,0,0,0,0,1,0,4,,
1,2,2,2,1,2,2,3,2,7,0,0,0,0,0,1,0,2,,
1,2,2,1,2,3,3,4,2,6,0,0,0,0,0,1,0,3,,
1,2,2,2,2,2,4,2,2,7,0,0,0,0,0,1,0,4,,
2,2,2,2,2,3,4,2,3,7,0,0,0,0,0,1,0,4,,
1,2,2,2,2,4,1,2,2,6,0,0,0,0,0,1,0,1,,
1,2,2,2,1,2,3,1,2,7,0,0,0,0,0,1,0,3,,
1,2,2,2,1,3,1,1,2,7,0,0,0,0,0,1,0,1,,
1,2,1,2,1,1,3,4,2,7,0,0,0,0,0,1,0,3,,
1,1,2,2,2,4,4,1,2,3,0,0,0,0,1,0,4,0,,
1,2,2,1,2,2,2,4,2,7,0,0,0,0,0,1,0,2,,
1,2,2,2,2,2,2,1,3,7,0,0,0,0,0,1,0,2,,
1,1,2,1,2,1,3,5,2,6,0,0,0,0,1,0,3,0,,
2,1,1,2,2,1,2,1,3,6,0,0,0,0,1,0,2,0,,
1,2,1,2,1,4,4,2,3,7,0,0,0,0,0,1,0,4,,
2,2,2,2,2,4,4,2,2,2,0,0,0,0,0,1,0,4,,
1,1,1,2,2,3,3,1,1,2,0,0,0,0,1,0,3,0,,
2,1,3,1,2,1,1,2,1,2,1,2,0,0,1,0,1,0,,
2,1,3,2,2,4,4,1,2,1,0,0,0,0,1,0,4,0,,
2,1,2,1,2,1,1,1,2,2,1,2,0,0,1,0,1,0,,
2,1,2,1,1,1,1,2,3,1,1,1,0,0,1,0,1,0,,
2,1,2,2,2,1,1,5,3,1,1,1,0,0,1,0,1,0,,
3,1,1,2,2,4,4,1,2,1,0,0,0,0,1,0,4,0,,
1,2,2,2,1,1,2,3,1,1,0,0,0,0,0,1,0,2,,
2,1,2,2,2,3,3,2,5,2,0,0,0,0,1,0,3,0,,
2,1,1,1,1,3,3,2,1,1,0,0,0,0,1,0,3,0,,
2,1,2,1,1,1,1,5,5,0,1,0,0,0,1,0,1,0,,
1,2,2,2,2,3,3,2,2,2,0,0,0,0,0,1,0,3,,
2,1,3,2,2,3,2,4,2,1,0,0,0,0,1,0,2,0,,
1,1,2,1,1,2,3,2,4,3,0,0,0,0,1,0,3,0,,
1,1,2,1,2,1,1,5,3,2,1,2,0,0,1,0,1,0,,
1,1,1,1,1,4,6,2,4,3,0,0,1,6,1,0,6,0,,
1,1,2,2,2,3,2,2,2,1,0,0,0,0,1,0,2,0,,
1,1,2,2,1,3,4,2,2,0,0,0,0,0,1,0,4,0,,
1,1,2,1,2,1,1,3,4,3,1,3,0,0,1,0,1,0,,
1,1,2,1,2,1,2,3,4,1,0,0,0,0,1,0,2,0,,
1,1,1,2,2,4,3,1,4,4,0,0,0,0,1,0,3,0,,
1,1,1,2,2,1,2,3,2,3,0,0,0,0,1,0,2,0,,
1,1,2,2,1,1,1,1,3,3,1,3,0,0,1,0,1,0,,
1,1,2,2,2,1,1,2,2,1,1,1,0,0,1,0,1,0,,
2,1,2,1,2,3,3,1,2,2,0,0,0,0,1,0,3,0,,
1,1,2,1,1,3,3,3,2,0,0,0,0,0,1,0,3,0,,
1,1,1,2,2,2,2,2,2,2,0,0,0,0,1,0,2,0,,
1,1,2,1,1,3,1,1,2,0,1,0,0,0,1,0,1,0,,
1,1,2,1,1,3,3,1,1,0,0,0,0,0,1,0,3,0,,
2,1,2,1,2,1,2,2,3,5,0,0,0,0,1,0,2,0,,
1,1,2,2,2,1,1,5,3,5,1,5,0,0,1,0,1,0,,
1,1,1,2,2,3,4,4,2,1,0,0,0,0,1,0,4,0,,
2,1,2,1,1,4,4,1,2,4,0,0,0,0,1,0,4,0,,
1,1,1,2,2,3,1,5,3,3,1,3,0,0,1,0,1,0,,
